radius,count,volume_fraction_center
0.00141,5,0.0180849
0.00423,14,0.0168792
0.00705,24,0.0173615
0.00987,36,0.0186016
0.01269,41,0.0164773
0.01551,52,0.0170984
0.01833,56,0.0155808
0.02115,72,0.0173615
0.02397,71,0.0151062
0.02679,84,0.0159908
0.02961,92,0.0158458
0.03243,99,0.0155687
0.03525,101,0.0146126
0.03807,111,0.0148698
0.04089,117,0.0145926
0.04371,105,0.012251
0.04653,122,0.0133718
0.04935,138,0.0142612
0.05217,120,0.0117307
0.05499,125,0.0115929
0.05781,132,0.0116449
0.06063,140,0.0117762
0.06345,133,0.0106902
0.06627,137,0.0105431
0.06909,138,0.0101866
